cluster,height_for_age_zscores,longitude,latitude,malaria_incidence_rate
199,-1.28028571428571,-10.51874886,6.98047862,1.31943413228571
200,-0.806105263157895,-10.66959564,6.926909738,1.27874343652632
201,-0.9358,-10.77544581,6.33480388,0.9057530343
202,-1.80225,-9.897085009,6.398111133,1.3840381263
203,-1.98215,-9.876591981,5.854631897,1.262859732
204,-2.03910526315789,-8.13637991,6.059817745,1.20576612573684
205,-2.1888125,-10.54638658,6.982048938,1.3479843364375
206,-2.738,-9.74666585,6.485445437,1.2922985701875
207,-1.819875,-10.68242327,6.293455705,0.932108864125
208,-1.81342105263158,-10.76335926,6.501147438,1.24869212978947
209,-1.30722222222222,-10.12001143,6.115276256,1.3084406985
210,-1.43577777777778,-9.458704132,6.985021803,1.16842050016667
211,-1.3274,-10.74837592,6.353147965,0.9499343096
212,-1.47631578947368,-10.3658494,6.245217593,0.998841235421053
213,-0.1155,-10.74239289,6.362747777,0.88467992825
214,-1.18981818181818,-10.83191282,6.862065399,1.00478235172727
215,-1.62194444444444,-9.758380632,8.414993938,1.22778793827778
216,-1.70640909090909,-8.229972504,4.675837824,1.21016923945455
217,-1.185125,-10.80111612,6.302956462,0.959492676
218,-1.45266666666667,-9.218099967,5.51662236,1.3745486735
219,-1.25877777777778,-7.869659857,4.643168686,1.3154684635
220,-1.06722222222222,-9.964780752,7.200742558,1.369298021
221,-2.35683333333333,-8.487677978,5.122185375,1.31620907775
222,-1.8775,-9.982086978,7.660701213,1.44165928183333
224,-1.97033333333333,-8.572774323,7.562697022,1.39069206188889
225,-2.52193103448276,-7.901833163,5.770297366,1.5032469937931
226,-0.266571428571429,-10.7764311,6.361951783,0.895442647571429
227,-1.04573913043478,-10.59038936,6.398446482,1.19939049947826
228,-1.312375,-10.10004317,6.745817097,1.19754852375
229,-1.058,-10.66313285,6.953907305,1.3258573115
230,-1.54113043478261,-8.157595101,6.059877198,1.20361620447826
231,-1.493,-9.965140258,7.213344317,1.37527855211111
232,-1.322,-10.35155595,6.5235473,1.066759895625
233,-2.09692,-10.15276531,7.142997457,1.4034238006
234,-1.7325,-10.51860705,7.306633507,1.14587867275
235,-1.08176923076923,-7.746193207,4.688060207,1.36684033507692
236,-0.487461538461538,-10.71953091,6.338399186,0.965747787307692
237,-1.88030769230769,-10.72545336,6.779443173,1.33114134323077
238,-0.994181818181818,-8.547654552,5.775107635,1.39166194736364
239,-1.88875,-9.476694092,6.513963903,1.35356002688889
241,-1.316,-10.21220592,6.716782306,1.25858639475
242,-0.6535,-9.993399025,5.849646916,1.2665178537
243,-1.6145,-7.589767878,4.549177505,1.40315337991667
244,-1.53584615384615,-10.42284339,6.384317825,1.16655739423077
245,-2.91054545454545,-8.918510721,6.900907544,1.46140874536364
246,-1.55437037037037,-7.667864558,4.614048077,1.28545087788889
247,-1.20857894736842,-10.76877291,6.336799189,0.866136698263158
248,-1.3515,-10.80031646,6.305813924,0.866577361916667
249,-1.43311111111111,-8.338327798,5.283900702,1.3086037635
250,-1.67981818181818,-8.414452924,7.277802758,1.50842723342424
251,-1.6564,-11.23720875,7.024078329,1.28198376644
253,-1.6197619047619,-7.606043652,4.396766856,1.16810006180952
254,-2.06669565217391,-8.357885796,6.792511461,1.45990976565217
255,-1.89488235294118,-8.053916438,4.874617194,1.338623706
256,-2.06689473684211,-9.064488065,6.860587236,1.445450952
257,-1.59809523809524,-7.522871172,5.085261478,1.399870975
258,-1.89538095238095,-10.61308672,6.426353293,1.27933149119048
259,-2.22841176470588,-7.627701427,4.80224939,1.33382185770588
260,-2.0185,-8.133040072,6.140089979,1.4759652093125
261,-1.89853846153846,-10.77871714,6.371534388,0.913581174076923
262,-1.67510526315789,-9.762150393,8.425081927,1.19493366568421
263,-2.3392,-7.71335994,4.773707827,1.32084734114286
264,-2.14545454545455,-7.74553968,5.340921107,1.47364793009091
266,-0.924,-10.79203588,6.330234914,0.958050319142857
268,-0.983592592592593,-7.885021956,5.027911053,1.37542144466667
269,-1.80163157894737,-8.849863735,5.484409348,1.36090178868421
270,-1.2821,-9.887494811,8.208251636,1.3786741735
272,-1.62321428571429,-10.57644225,6.385177941,1.24773971528571
273,-2.11069230769231,-10.28988672,6.334782903,1.18279532284615
274,-1.62052631578947,-8.129610017,6.077491858,1.16689373952632
